#t(s) x y z
16 0.02432106001 -0.0696980168 -1.500632945e-22 
16 0.02470228342 -0.07524153693 1.405088707e-22 
16 0.02507237443 -0.08078550871 6.207144234e-22 
16 0.02543754568 -0.08632950396 1.20130622e-21 
16 0.02580147533 -0.09187327806 1.812415607e-21 
17 -0.005555555556 0 0 
17 0 0 0 
17 0.005122239434 -0.002156320271 -7.224640452e-22 
17 0.009371212292 -0.005740485941 -1.322544585e-21 
17 0.01272269643 -0.01017595505 -1.479279061e-21 
17 0.01531325844 -0.01509493654 -1.220992631e-21 
17 0.01730812232 -0.02028407304 -7.318316332e-22 
17 0.01885287664 -0.02562433097 -2.047981625e-22 
17 0.02006282009 -0.03105001235 2.240339128e-22 
17 0.02102545266 -0.03652471291 4.898574966e-22 
17 0.0218061558 -0.04202801732 5.834423618e-22 
17 0.02245367276 -0.04754828302 5.301341094e-22 
17 0.02300450864 -0.05307873462 3.711023667e-22 
17 0.02348621224 -0.05861533573 1.490774599e-22 
17 0.02391972934 -0.06415561665 -1.004752604e-22 
17 0.02432104029 -0.06969802138 -3.535436989e-22 
17 0.02470226161 -0.07524154165 -5.978765729e-22 
17 0.0250723505 -0.08078551358 -8.3078222e-22 
17 0.02543751962 -0.08632950897 -1.055533321e-21 
17 0.02580144714 -0.09187328321 -1.277288352e-21 
18 -0.005555555556 0 0 
18 0 0 0 
18 0.005122239367 -0.00215632043 2.913464095e-22 
18 0.009371212016 -0.005740486348 5.813345301e-22 
18 0.01272269579 -0.01017595573 7.590271844e-22 
18 0.01531325732 -0.01509493747 8.174877698e-22 
18 0.01730812061 -0.0202840742 7.98668459e-22 
18 0.01885287426 -0.02562433233 7.381965928e-22 
18 0.02006281697 -0.03105001387 6.513114137e-22 
18 0.02102544873 -0.03652471457 5.402488607e-22 
18 0.02180615103 -0.0420280191 4.053858869e-22 
18 0.0224536671 -0.04754828491 2.524423722e-22 
18 0.02300450205 -0.0530787366 9.325946236e-23 
18 0.0234862047 -0.05861533779 -5.683471318e-23 
18 0.02391972082 -0.06415561879 -1.833639934e-22 
18 0.02432103077 -0.06969802359 -2.768888327e-22 
18 0.02470225107 -0.07524154393 -3.355094836e-22 
18 0.02507233894 -0.08078551593 -3.650002037e-22 
18 0.02543750704 -0.08632951138 -3.764472087e-22 
18 0.02580143353 -0.09187328569 -3.816250538e-22 
19 -0.005555555556 0 0 
19 0 0 0 
19 0.005122239352 -0.002156320465 -1.291945462e-22 
19 0.009371211955 -0.005740486437 -2.667986777e-22 
19 0.01272269565 -0.01017595588 -3.449626242e-22 
19 0.01531325708 -0.01509493768 -3.566631548e-22 
19 0.01730812024 -0.02028407445 -3.3157202e-22 
19 0.01885287374 -0.02562433262 -3.052539538e-22 
19 0.02006281628 -0.03105001421 -3.025129698e-22 
19 0.02102544788 -0.03652471493 -3.298390243e-22 
19 0.02180614999 -0.04202801949 -3.721710496e-22 
19 0.02245366586 -0.04754828532 -3.971216086e-22 
19 0.02300450061 -0.05307873703 -3.657420516e-22 
19 0.02348620306 -0.05861533824 -2.422894853e-22 
19 0.02391971896 -0.06415561926 -1.830922395e-24 
19 0.02432102869 -0.06969802407 3.638858892e-22 
19 0.02470224877 -0.07524154443 8.438944491e-22 
19 0.02507233642 -0.08078551644 1.410684254e-21 
19 0.02543750429 -0.08632951191 2.027787728e-21 
19 0.02580143055 -0.09187328624 2.661435241e-21 
20 -0.005555555556 0 0 
20 0 0 0 
20 0.005122239355 -0.002156320458 1.785003508e-21 
20 0.009371211967 -0.005740486419 3.306814186e-21 
20 0.01272269568 -0.01017595585 3.773641692e-21 
20 0.01531325713 -0.01509493764 3.218874189e-21 
20 0.01730812031 -0.0202840744 2.043032034e-21 
20 0.01885287384 -0.02562433257 6.888703234e-22 
20 0.02006281642 -0.03105001414 -5.031271812e-22 
20 0.02102544804 -0.03652471486 -1.340166612e-21 
20 0.0218061502 -0.04202801942 -1.76596877e-21 
20 0.02245366611 -0.04754828524 -1.824705609e-21 
20 0.0230045009 -0.05307873694 -1.617949041e-21 
20 0.02348620338 -0.05861533815 -1.265391146e-21 
20 0.02391971933 -0.06415561917 -8.744844434e-22 
20 0.02432102911 -0.06969802397 -5.212507788e-22 
20 0.02470224923 -0.07524154433 -2.424555892e-22 
20 0.02507233692 -0.08078551634 -3.833745672e-23 
20 0.02543750483 -0.08632951181 1.158736771e-22 
20 0.02580143114 -0.09187328613 2.52141422e-22 
21 -0.005555555556 0 0 
21 0 0 0 
21 0.005122239359 -0.002156320449 8.507361498e-22 
21 0.009371211984 -0.005740486395 1.714422357e-21 
21 0.01272269572 -0.01017595581 2.167403244e-21 
21 0.01531325719 -0.01509493758 2.096090082e-21 
21 0.01730812042 -0.02028407433 1.575496871e-21 
21 0.01885287399 -0.02562433248 7.763341013e-22 
21 0.02006281661 -0.03105001405 -1.021725004e-22 
21 0.02102544828 -0.03652471476 -8.842898279e-22 
21 0.02180615049 -0.04202801931 -1.4484724e-21 
21 0.02245366645 -0.04754828512 -1.737776529e-21 
21 0.0230045013 -0.05307873682 -1.75421628e-21 
21 0.02348620384 -0.05861533803 -1.543062608e-21 
21 0.02391971984 -0.06415561904 -1.171961522e-21 
21 0.02432102968 -0.06969802384 -7.103700271e-22 
21 0.02470224987 -0.07524154419 -2.135858681e-22 
21 0.02507233762 -0.0807855162 2.854828741e-22 
21 0.0254375056 -0.08632951166 7.758086666e-22 
21 0.02580143197 -0.09187328598 1.260618856e-21 
22 -0.005555555556 0 0 
22 0 0 0 
22 0.005122239361 -0.002156320444 -6.130232735e-22 
22 0.009371211991 -0.005740486384 -1.097356301e-21 
22 0.01272269574 -0.01017595579 -1.20041266e-21 
22 0.01531325723 -0.01509493755 -9.602144691e-22 
22 0.01730812046 -0.0202840743 -5.321097043e-22 
22 0.01885287405 -0.02562433245 -8.038122747e-23 
22 0.02006281669 -0.03105001401 2.772818248e-22 
22 0.02102544839 -0.03652471471 4.890204801e-22 
22 0.02180615062 -0.04202801926 5.613743917e-22 
22 0.0224536666 -0.04754828507 5.399897649e-22 
22 0.02300450147 -0.05307873677 4.884663567e-22 
22 0.02348620404 -0.05861533797 4.697510659e-22 
22 0.02391972007 -0.06415561898 5.318689144e-22 
22 0.02432102994 -0.06969802378 6.995279006e-22 
22 0.02470225015 -0.07524154413 9.72181108e-22 
22 0.02507233793 -0.08078551613 1.32804629e-21 
22 0.02543750594 -0.0863295116 1.733215875e-21 
22 0.02580143234 -0.09187328591 2.154767158e-21 
23 -0.005555555556 0 0 
23 0 0 0 
23 0.005122239361 -0.002156320443 -3.10914427e-22 
23 0.009371211993 -0.005740486382 -1.082259221e-21 
23 0.01272269574 -0.01017595579 -2.157274442e-21 
23 0.01531325723 -0.01509493755 -3.263659567e-21 
23 0.01730812047 -0.02028407429 -4.16379376e-21 
23 0.01885287406 -0.02562433244 -4.715739035e-21 
23 0.02006281671 -0.031050014 -4.872146748e-21 
23 0.02102544841 -0.03652471471 -4.65514094e-21 
23 0.02180615064 -0.04202801925 -4.131298349e-21 
23 0.02245366663 -0.04754828506 -3.389830837e-21 
23 0.02300450151 -0.05307873676 -2.523093006e-21 
23 0.02348620408 -0.05861533796 -1.611809332e-21 
23 0.02391972011 -0.06415561897 -7.158271265e-22 
23 0.02432102999 -0.06969802377 1.297782653e-22 
23 0.0247022502 -0.07524154412 9.140244569e-22 
23 0.02507233799 -0.08078551612 1.645404137e-21 
23 0.025437506 -0.08632951158 2.344037429e-21 
23 0.0258014324 -0.0918732859 3.031426917e-21 
24 -0.005555555556 0 0 
24 0 0 0 
24 0.005122239361 -0.002156320444 -1.022593865e-21 
24 0.009371211992 -0.005740486382 -2.036701785e-21 
24 0.01272269574 -0.01017595579 -2.526935736e-21 
24 0.01531325723 -0.01509493755 -2.368061327e-21 
24 0.01730812047 -0.0202840743 -1.659362029e-21 
24 0.01885287406 -0.02562433244 -6.025084956e-22 
24 0.0200628167 -0.031050014 5.753534516e-22 
24 0.0210254484 -0.03652471471 1.669386181e-21 
24 0.02180615063 -0.04202801925 2.52098722e-21 
24 0.02245366662 -0.04754828507 3.025696598e-21 
24 0.0230045015 -0.05307873676 3.134208511e-21 
24 0.02348620407 -0.05861533797 2.846619118e-21 
24 0.0239197201 -0.06415561897 2.201899216e-21 
24 0.02432102997 -0.06969802377 1.265014486e-21 
24 0.02470225019 -0.07524154412 1.137170846e-22 
24 0.02507233797 -0.08078551613 -1.173645384e-21 
24 0.02543750598 -0.08632951159 -2.528892414e-21 
24 0.02580143238 -0.0918732859 -3.903558968e-21 
25 -0.005555555556 0 0 
25 0 0 0 
25 0.005122239361 -0.002156320444 -3.872089595e-22 
25 0.009371211992 -0.005740486383 -5.097579167e-22 
25 0.01272269574 -0.01017595579 -2.207851542e-22 
25 0.01531325723 -0.01509493755 3.165294502e-22 
25 0.01730812047 -0.0202840743 8.53937154e-22 
25 0.01885287406 -0.02562433244 1.189501507e-21 
25 0.0200628167 -0.031050014 1.223896064e-21 
25 0.0210254484 -0.03652471471 9.661453465e-22 
25 0.02180615062 -0.04202801926 5.090811108e-22 
25 0.02245366661 -0.04754828507 -9.360816795e-24 
25 0.02300450149 -0.05307873677 -4.46021801e-22 
25 0.02348620406 -0.05861533797 -6.841925048e-22 
25 0.02391972009 -0.06415561897 -6.533262029e-22 
25 0.02432102996 -0.06969802378 -3.362638899e-22 
25 0.02470225017 -0.07524154413 2.351246385e-22 
25 0.02507233795 -0.08078551613 9.936450621e-22 
25 0.02543750596 -0.08632951159 1.85731454e-21 
25 0.02580143236 -0.09187328591 2.754467702e-21 
26 -0.005555555556 0 0 
26 0 0 0 
26 0.005122239361 -0.002156320444 -1.139123404e-21 
26 0.009371211992 -0.005740486383 -2.659012649e-21 
26 0.01272269574 -0.01017595579 -4.037078068e-21 
26 0.01531325723 -0.01509493755 -5.011790666e-21 
26 0.01730812046 -0.0202840743 -5.506984425e-21 
26 0.01885287405 -0.02562433245 -5.55087817e-21 
26 0.0200628167 -0.03105001401 -5.216286696e-21 
26 0.02102544839 -0.03652471471 -4.596815155e-21 
26 0.02180615062 -0.04202801926 -3.788589451e-21 
26 0.02245366661 -0.04754828507 -2.877855401e-21 
26 0.02300450148 -0.05307873677 -1.933402617e-21 
26 0.02348620405 -0.05861533797 -1.003542492e-21 
26 0.02391972008 -0.06415561898 -1.163975281e-22 
26 0.02432102995 -0.06969802378 7.177540754e-22 
26 0.02470225016 -0.07524154413 1.502432159e-21 
26 0.02507233794 -0.08078551613 2.250001417e-21 
26 0.02543750595 -0.08632951159 2.976483533e-21 
26 0.02580143235 -0.09187328591 3.696147522e-21 
27 -0.005555555556 0 0 
27 0 0 0 
27 0.005122239361 -0.002156320444 7.624931987e-23 
27 0.009371211992 -0.005740486383 3.496027071e-22 
27 0.01272269574 -0.01017595579 8.03370318e-22 
27 0.01531325723 -0.01509493755 1.337207691e-21 
27 0.01730812046 -0.0202840743 1.816325354e-21 
27 0.01885287405 -0.02562433245 2.127001989e-21 
27 0.0200628167 -0.03105001401 2.204019119e-21 
27 0.02102544839 -0.03652471471 2.033695134e-21 
27 0.02180615062 -0.04202801926 1.644310549e-21 
27 0.02245366661 -0.04754828507 1.090135681e-21 
27 0.02300450148 -0.05307873677 4.345529836e-22 
27 0.02348620405 -0.05861533797 -2.638226645e-22 
27 0.02391972008 -0.06415561898 -9.602260768e-22 
27 0.02432102995 -0.06969802378 -1.627786851e-21 
27 0.02470225016 -0.07524154413 -2.257188321e-21 
27 0.02507233794 -0.08078551613 -2.853024395e-21 
27 0.02543750595 -0.08632951159 -3.427963232e-21 
27 0.02580143235 -0.09187328591 -3.995716858e-21 
28 -0.005555555556 0 0 
28 0 0 0 
28 0.005122239361 -0.002156320444 1.230031767e-21 
28 0.009371211992 -0.005740486383 2.575966642e-21 
28 0.01272269574 -0.01017595579 3.48697807e-21 
28 0.01531325723 -0.01509493755 3.816896863e-21 
28 0.01730812046 -0.0202840743 3.625750193e-21 
28 0.01885287405 -0.02562433245 3.0588608e-21 
28 0.0200628167 -0.03105001401 2.288039413e-21 
28 0.02102544839 -0.03652471471 1.475972023e-21 
28 0.02180615062 -0.04202801926 7.588454252e-22 
28 0.02245366661 -0.04754828507 2.388211919e-22 
28 0.02300450148 -0.05307873677 -1.824812107e-23 
28 0.02348620405 -0.05861533797 1.743225831e-23 
28 0.02391972008 -0.06415561898 3.42188029e-22 
28 0.02432102995 -0.06969802378 9.238635742e-22 
28 0.02470225016 -0.07524154413 1.709170016e-21 
28 0.02507233794 -0.08078551613 2.63324336e-21 
28 0.02543750595 -0.08632951159 3.631238526e-21 
28 0.02580143235 -0.09187328591 4.65181318e-21 
29 -0.005555555556 0 0 
29 0 0 0 
29 0.005122239361 -0.002156320444 6.006572857e-22 
29 0.009371211992 -0.005740486383 1.166344051e-21 
29 0.01272269574 -0.01017595579 1.479883515e-21 
29 0.01531325723 -0.01509493755 1.551556572e-21 
29 0.01730812046 -0.0202840743 1.468979736e-21 
29 0.01885287405 -0.02562433245 1.316330158e-21 
29 0.0200628167 -0.03105001401 1.157587454e-21 
29 0.02102544839 -0.03652471471 1.029112444e-21 
29 0.02180615062 -0.04202801926 9.444987197e-22 
29 0.02245366661 -0.04754828507 9.037880879e-22 
29 0.02300450148 -0.05307873677 9.040139713e-22 
29 0.02348620405 -0.05861533797 9.435823823e-22 
29 0.02391972008 -0.06415561898 1.022271811e-21 
29 0.02432102995 -0.06969802378 1.139298718e-21 
29 0.02470225016 -0.07524154413 1.291016536e-21 
29 0.02507233794 -0.08078551613 1.469674691e-21 
29 0.02543750595 -0.08632951159 1.664461164e-21 
29 0.02580143235 -0.09187328591 1.864751015e-21 
30 -0.005555555556 0 0 
30 0 0 0 
30 0.005122239361 -0.002156320444 -8.30748119e-23 
30 0.009371211992 -0.005740486383 2.411695741e-22 
30 0.01272269574 -0.01017595579 9.526378539e-22 
30 0.01531325723 -0.01509493755 1.836153271e-21 
30 0.01730812046 -0.0202840743 2.64840376e-21 
30 0.01885287405 -0.02562433245 3.207900587e-21 
30 0.0200628167 -0.03105001401 3.43681292e-21 
30 0.02102544839 -0.03652471471 3.348553363e-21 
30 0.02180615062 -0.04202801926 3.015167487e-21 
30 0.02245366661 -0.04754828507 2.533706249e-21 
30 0.02300450148 -0.05307873677 1.998396105e-21 
30 0.02348620405 -0.05861533797 1.482486542e-21 
30 0.02391972008 -0.06415561898 1.030324092e-21 
30 0.02432102995 -0.06969802378 6.578565187e-22 
30 0.02470225016 -0.07524154413 3.587991585e-22 
30 0.02507233794 -0.08078551613 1.133534595e-22 
30 0.02543750595 -0.08632951159 -1.027037798e-22 
30 0.02580143235 -0.09187328591 -3.09703213e-22 
31 -0.005555555556 0 0 
31 0 0 0 
31 0.005122239361 -0.002156320444 3.433794962e-22 
31 0.009371211992 -0.005740486383 9.664937505e-22 
31 0.01272269574 -0.01017595579 1.731977671e-21 
31 0.01531325723 -0.01509493755 2.492612036e-21 
31 0.01730812046 -0.0202840743 3.11849088e-21 
31 0.01885287405 -0.02562433245 3.521471806e-21 
31 0.0200628167 -0.03105001401 3.663398889e-21 
31 0.02102544839 -0.03652471471 3.553082128e-21 
31 0.02180615062 -0.04202801926 3.235621774e-21 
31 0.02245366661 -0.04754828507 2.777475634e-21 
31 0.02300450148 -0.05307873677 2.251154358e-21 
31 0.02348620405 -0.05861533797 1.72173444e-21 
31 0.02391972008 -0.06415561898 1.236581397e-21 
31 0.02432102995 -0.06969802378 8.205700614e-22 
31 0.02470225016 -0.07524154413 4.767460734e-22 
31 0.02507233794 -0.08078551613 1.909958799e-22 
31 0.02543750595 -0.08632951159 -6.018152934e-23 
31 0.02580143235 -0.09187328591 -2.998223258e-22 
32 -0.005555555556 0 0 
32 0 0 0 
32 0.005122239361 -0.002156320444 -1.501530682e-21 
32 0.009371211992 -0.005740486383 -3.675682586e-21 
32 0.01272269574 -0.01017595579 -5.625898045e-21 
32 0.01531325723 -0.01509493755 -6.701096663e-21 
32 0.01730812046 -0.0202840743 -6.599758911e-21 
32 0.01885287405 -0.02562433245 -5.373925927e-21 
32 0.0200628167 -0.03105001401 -3.334605205e-21 
32 0.02102544839 -0.03652471471 -9.198195073e-22 
32 0.02180615062 -0.04202801926 1.426719547e-21 
32 0.02245366661 -0.04754828507 3.337935231e-21 
32 0.02300450148 -0.05307873677 4.56714742e-21 
32 0.02348620405 -0.05861533797 4.998418208e-21 
32 0.02391972008 -0.06415561898 4.634149282e-21 
32 0.02432102995 -0.06969802378 3.569348128e-21 
32 0.02470225016 -0.07524154413 1.959523005e-21 
32 0.02507233794 -0.08078551613 -1.338059376e-23 
32 0.02543750595 -0.08632951159 -2.175048285e-21 
32 0.02580143235 -0.09187328591 -4.392818712e-21 
33 -0.005555555556 0 0 
33 0 0 0 
33 0.005122239361 -0.002156320444 7.461993007e-22 
33 0.009371211992 -0.005740486383 1.404347139e-21 
33 0.01272269574 -0.01017595579 1.619356219e-21 
33 0.01531325723 -0.01509493755 1.375609232e-21 
33 0.01730812046 -0.0202840743 8.197157335e-22 
33 0.01885287405 -0.02562433245 1.36035892e-22 
33 0.0200628167 -0.03105001401 -5.087819546e-22 
33 0.02102544839 -0.03652471471 -9.891287843e-22 
33 0.02180615062 -0.04202801926 -1.231807928e-21 
33 0.02245366661 -0.04754828507 -1.213966765e-21 
33 0.02300450148 -0.05307873677 -9.521013596e-22 
33 0.02348620405 -0.05861533797 -4.881084598e-22 
33 0.02391972008 -0.06415561898 1.248046359e-22 
33 0.02432102995 -0.06969802378 8.343272784e-22 
33 0.02470225016 -0.07524154413 1.597381774e-21 
33 0.02507233794 -0.08078551613 2.38407676e-21 
33 0.02543750595 -0.08632951159 3.177722575e-21 
33 0.02580143235 -0.09187328591 3.971910802e-21 
34 -0.005555555556 0 0 
34 0 0 0 
34 0.005122239361 -0.002156320444 1.178072055e-21 
34 0.009371211992 -0.005740486383 2.333352902e-21 
34 0.01272269574 -0.01017595579 2.968924993e-21 
34 0.01531325723 -0.01509493755 3.07451618e-21 
34 0.01730812046 -0.0202840743 2.816114288e-21 
34 0.01885287405 -0.02562433245 2.376377528e-21 
34 0.0200628167 -0.03105001401 1.896043323e-21 
34 0.02102544839 -0.03652471471 1.460194455e-21 
34 0.02180615062 -0.04202801926 1.103608286e-21 
34 0.02245366661 -0.04754828507 8.245032087e-22 
34 0.02300450148 -0.05307873677 6.023519308e-22 
34 0.02348620405 -0.05861533797 4.102303914e-22 
34 0.02391972008 -0.06415561898 2.229902737e-22 
34 0.02432102995 -0.06969802378 2.310720195e-23 
34 0.02470225016 -0.07524154413 -1.972402861e-22 
34 0.02507233794 -0.08078551613 -4.370377445e-22 
34 0.02543750595 -0.08632951159 -6.894646799e-22 
34 0.02580143235 -0.09187328591 -9.463286378e-22 
35 -0.005555555556 0 0 
35 0 0 0 
35 0.005122239361 -0.002156320444 5.240639253e-22 
35 0.009371211992 -0.005740486383 1.458464718e-21 
35 0.01272269574 -0.01017595579 2.502548916e-21 
35 0.01531325723 -0.01509493755 3.364685997e-21 
35 0.01730812046 -0.0202840743 3.869087738e-21 
35 0.01885287405 -0.02562433245 3.970709082e-21 
35 0.0200628167 -0.03105001401 3.722676605e-21 
35 0.02102544839 -0.03652471471 3.226645988e-21 
35 0.02180615062 -0.04202801926 2.589025061e-21 
35 0.02245366661 -0.04754828507 1.892884909e-21 
35 0.02300450148 -0.05307873677 1.186596424e-21 
35 0.02348620405 -0.05861533797 4.863342733e-22 
35 0.02391972008 -0.06415561898 -2.131732736e-22 
35 0.02432102995 -0.06969802378 -9.255865725e-22 
35 0.02470225016 -0.07524154413 -1.661834014e-21 
35 0.02507233794 -0.08078551613 -2.423892149e-21 
35 0.02543750595 -0.08632951159 -3.204511e-21 
35 0.02580143235 -0.09187328591 -3.992231041e-21 
36 -0.005555555556 0 0 
36 0 0 0 
36 0.005122239361 -0.002156320444 -1.049582742e-21 
36 0.009371211992 -0.005740486383 -1.914673912e-21 
36 0.01272269574 -0.01017595579 -2.200145283e-21 
36 0.01531325723 -0.01509493755 -2.026268721e-21 
36 0.01730812046 -0.0202840743 -1.646899192e-21 
36 0.01885287405 -0.02562433245 -1.269774035e-21 
36 0.0200628167 -0.03105001401 -1.003366003e-21 
36 0.02102544839 -0.03652471471 -8.667073453e-22 
36 0.02180615062 -0.04202801926 -8.228564972e-22 
36 0.02245366661 -0.04754828507 -8.13386034e-22 
36 0.02300450148 -0.05307873677 -7.836827696e-22 
36 0.02348620405 -0.05861533797 -6.975472241e-22 
36 0.02391972008 -0.06415561898 -5.408455597e-22 
36 0.02432102995 -0.06969802378 -3.176593915e-22 
